PostalCode,Hotel_Name,Address
75008,Mercure Paris Opera Garnier Hotel,4 rue de l 'Isly
75009,Scribe Paris Opéra by Sofitel,1 rue Scribe
75017,Mercure Paris St Lazare Monceau hotel,99 bis Rue de Rome
75002,Hôtel Stendhal Place Vendôme Paris - MGallery by Sofitel,22 rue Danielle Casanova
75018,Mercure Paris Montmartre Sacré-Coeur Hotel,3 rue Caulaincourt
75010,Hôtel L'Échiquier Opéra Paris - MGallery by Sofitel,38 Rue De L Echiquier
75015,ibis Paris Tour Montparnasse 15th,22 Avenue du Maine
75014,Mercure Paris Gare Montparnasse Hotel,20 rue de la Gaité
75012,Mercure Paris Gare de Lyon TGV hotel,2 place Louis Armand
75013,Mercure Paris Bercy Bibliothèque Hotel,"6, boulevard Vincent Auriol"
75001,Novotel Paris Les Halles,8 Place Marguerite de Navarre
75019,Aparthotel Adagio access Paris La Villette,28 bis avenue Corentin Cariou
93210,Novotel Suites Paris Stade de France hotel,31 Avenue Jules Rimet
92400,Pullman Paris La Défense,11 Avenue de l'Arche
78300,ibis Poissy,97 Avenue Maurice Berteaux
78100,Hôtel Mercure Paris Ouest Saint Germain,11 Avenue Des Loges
78240,ibis budget Chambourcy Saint Germain,"2, Rue du Mur du Parc"
78000,Hôtel Le Louis Versailles Château - MGallery by Sofitel,2 bis avenue de Paris
91550,bis Paris Coeur d'Orly Airport,19 promenade d'Orly
94656,Novotel Paris Orly Rungis,1 rue du pont des halles
92160,ibis Styles Antony Paris Sud,1 Rue Alexis De Tocqueville
91300,ibis Massy,6 rue du Saule Trapu
91380,hotelF1 Chilly Mazarin les Champarts,ZA de la Butte au Berger
94290,ibis budget Villeneuve le Roi,"5, Rue des Carrières Morillon"
94400,bis budget Vitry sur Seine N7,"160, Rue Julian-Grimau"
93170,hotelF1 Paris Porte de Montreuil,"290-302, Rue Etienne Marcel"
94120,ibis Styles Paris Val de Fontenay,2-4 Avenue du val de fontenay
93250,ibis budget Villemomble,"14, allée du plateau"
94550,ibis budget Orly Chevilly Tram 7,72-78 AVENUE DE STALINGRAD
94000,Novotel Paris Créteil Le Lac,Rue Jean Gabin
93290,Novotel Paris Charles-de-Gaulle Airport,Rue de Paris
95735,bis Styles Paris Charles de Gaulle Airport,1 Bis Rue de la Haye
95713,Hotel Mercure Paris CDG Airport & Convention,Roissypôle Ouest
95700,Mercure Paris Roissy Charles de Gaulle Hotel,3 Allee du Verger
95974,ibis budget Roissy CDG Paris Nord 2,335 RUE DE LA BELLE ETOILE
95971,ibis Styles Parc des Expositions de Villepinte,54 Avenue des Nations
95972,ibis Villepinte Parc Expos,A104 Sortie no2 Visiteurs
95190,bis budget Goussainville CDG,19 Rue Le Corbusier
95470,Novotel Survilliers Saint-Witz,ROUTE DE SURVILLIERS
93600,hotelF1 Aulnay Garonor A1,Rue Robert Brémond
